legal_entity_id,legal_entity_name,legal_entity_edrpou,period,sum
000111a6-5b2e-47f6-9357-4ec0285cb154,"Товариство з обмеженою відповідальністю ""Аптека №1 Трансфарм""",32799279,З 2019.06.01 по 2019.06.15,"1894,79"
000111a6-5b2e-47f6-9357-4ec0285cb154,"Товариство з обмеженою відповідальністю ""Аптека №1 Трансфарм""",32799279,З 2019.06.16 по 2019.06.30,"3451,40"
000111a6-5b2e-47f6-9357-4ec0285cb154,"Товариство з обмеженою відповідальністю ""Аптека №1 Трансфарм""",32799279,З 2019.07.01 по 2019.07.15,"1688,50"
000111a6-5b2e-47f6-9357-4ec0285cb154,"Товариство з обмеженою відповідальністю ""Аптека №1 Трансфарм""",32799279,З 2019.07.16 по 2019.07.31,"1454,77"
000111a6-5b2e-47f6-9357-4ec0285cb154,"Товариство з обмеженою відповідальністю ""Аптека №1 Трансфарм""",32799279,З 2019.08.01 по 2019.08.15,"2821,93"
000111a6-5b2e-47f6-9357-4ec0285cb154,"Товариство з обмеженою відповідальністю ""Аптека №1 Трансфарм""",32799279,З 2019.08.16 по 2019.08.31,"2083,67"
000111a6-5b2e-47f6-9357-4ec0285cb154,"Товариство з обмеженою відповідальністю ""Аптека №1 Трансфарм""",32799279,З 2019.09.01 по 2019.09.15,"1094,22"
00177205-ba0e-40ee-a97e-5f0f3f78fd42,Фізична особа підприємець Семків Тарас Михайлович,----------,З 2019.04.01 по 2019.04.15,"2076,03"
00177205-ba0e-40ee-a97e-5f0f3f78fd42,Фізична особа підприємець Семків Тарас Михайлович,----------,З 2019.04.16 по 2019.04.30,"3467,05"
00177205-ba0e-40ee-a97e-5f0f3f78fd42,Фізична особа підприємець Семків Тарас Михайлович,----------,З 2019.05.01 по 2019.05.15,"3171,62"
00177205-ba0e-40ee-a97e-5f0f3f78fd42,Фізична особа підприємець Семків Тарас Михайлович,----------,З 2019.05.16 по 2019.05.31,"3753,48"
00177205-ba0e-40ee-a97e-5f0f3f78fd42,Фізична особа підприємець Семків Тарас Михайлович,----------,З 2019.06.01 по 2019.06.15,"2911,62"
00177205-ba0e-40ee-a97e-5f0f3f78fd42,Фізична особа підприємець Семків Тарас Михайлович,----------,З 2019.06.16 по 2019.06.30,"3647,83"
00177205-ba0e-40ee-a97e-5f0f3f78fd42,Фізична особа підприємець Семків Тарас Михайлович,----------,З 2019.07.01 по 2019.07.15,"3430,74"
00177205-ba0e-40ee-a97e-5f0f3f78fd42,Фізична особа підприємець Семків Тарас Михайлович,----------,З 2019.07.16 по 2019.07.31,"3083,83"
00177205-ba0e-40ee-a97e-5f0f3f78fd42,Фізична особа підприємець Семків Тарас Михайлович,----------,З 2019.08.01 по 2019.08.15,"3523,93"
00177205-ba0e-40ee-a97e-5f0f3f78fd42,Фізична особа підприємець Семків Тарас Михайлович,----------,З 2019.08.16 по 2019.08.31,"2487,31"
00177205-ba0e-40ee-a97e-5f0f3f78fd42,Фізична особа підприємець Семків Тарас Михайлович,----------,З 2019.09.01 по 2019.09.15,"2693,41"
001fb507-5708-40e8-be89-792b57317b9f,Фізична особа-підприємець Микитич Тетяна Олексіївна,----------,З 2019.04.01 по 2019.04.15,"2924,18"
