legal_entity_name,legal_entity_edrpou,division_name,residence_settlement_koatuu,division_residence_addresses,division_decl_sum,nszu_geocoding_google_api_lat,nszu_geocoding_google_api_lng
"НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ""СОЦІАЛМЕДИКА"" ГРОМАДСЬКОЇ ОРГАНІЗАЦІЇ ""ШЕПЕТІВСЬКА РЕГІОНАЛЬНА ОРГАНІЗАЦІЯ МИРОТВОРЦІВ""",43130119,Амбулаторія №2,6810700000.0,"ХМЕЛЬНИЦЬКА область, місто ШЕПЕТІВКА, проспект Миру, 14Д",387.0,50.1878466,27.062280100000002
"НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ""СОЦІАЛМЕДИКА"" ГРОМАДСЬКОЇ ОРГАНІЗАЦІЇ ""ШЕПЕТІВСЬКА РЕГІОНАЛЬНА ОРГАНІЗАЦІЯ МИРОТВОРЦІВ""",43130119,Амбулаторія №1,6822110100.0,"ХМЕЛЬНИЦЬКА область, ІЗЯСЛАВСЬКИЙ район, місто ІЗЯСЛАВ, вулиця Шевченка , 10В",124.0,50.1154223,26.818714
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОЛОМИЙСЬКОЇ МІСЬКОЇ РАДИ ""КОЛОМИЙСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",39007143,Амбулаторія загальної практики-сімейної медицини № 6,2610600000.0,"ІВАНО-ФРАНКІВСЬКА область, місто КОЛОМИЯ, площа Привокзальна, 13",2388.0,48.533035399999996,25.060563000000002
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОЛОМИЙСЬКОЇ МІСЬКОЇ РАДИ ""КОЛОМИЙСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",39007143,Амбулаторія загальної практики-сімейної медицини № 9 с. Воскресинці,2623281001.0,"ІВАНО-ФРАНКІВСЬКА область, село ВОСКРЕСИНЦІ, вулиця Шевченка, 40а",27.0,48.5046884,25.072034
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОЛОМИЙСЬКОЇ МІСЬКОЇ РАДИ ""КОЛОМИЙСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",39007143,Амбулаторія загальної практики-сімейної медицини № 1,2610600000.0,"ІВАНО-ФРАНКІВСЬКА область, місто КОЛОМИЯ, вулиця В'ячеслава Чорновола, 32",3035.0,48.529081,25.040708
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОЛОМИЙСЬКОЇ МІСЬКОЇ РАДИ ""КОЛОМИЙСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",39007143,Амбулаторія загальної практики-сімейної медицини № 2,2610600000.0,"ІВАНО-ФРАНКІВСЬКА область, місто КОЛОМИЯ, вулиця Шевченка, 38",1454.0,48.528465999999995,25.037389
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОЛОМИЙСЬКОЇ МІСЬКОЇ РАДИ ""КОЛОМИЙСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",39007143,Амбулаторія загальної практики-сімейної медицини № 5,2610600000.0,"ІВАНО-ФРАНКІВСЬКА область, місто КОЛОМИЯ, площа Привокзальна, 13",1652.0,48.533035399999996,25.060563000000002
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОЛОМИЙСЬКОЇ МІСЬКОЇ РАДИ ""КОЛОМИЙСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",39007143,Амбулаторія загальної практики-сімейної медицини № 8 с.Саджавка,2624086001.0,"ІВАНО-ФРАНКІВСЬКА область, село САДЖАВКА, вулиця Ольги Кобилянської, 5",329.0,48.5689374,24.7935034
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОЛОМИЙСЬКОЇ МІСЬКОЇ РАДИ ""КОЛОМИЙСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",39007143,Амбулаторія загальної практики-сімейної медицини № 4 с. Товмачик,2623287201.0,"ІВАНО-ФРАНКІВСЬКА область, село ТОВМАЧИК, вулиця Шкільна, 34а",133.0,48.5853516,24.8849896
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОЛОМИЙСЬКОЇ МІСЬКОЇ РАДИ ""КОЛОМИЙСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",39007143,Амбулаторія загальної практики-сімейної медицини № 7,2610600000.0,"ІВАНО-ФРАНКІВСЬКА область, місто КОЛОМИЯ, вулиця Миколи Леонтовича, 26-А",412.0,48.543841,25.0358421
