legal_entity_name,division_id,division_name,division_area,division_region,division_settlement,division_residence_addresses,nszu_geocoding_google_api_lng,nszu_geocoding_google_api_lat,total_sum
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РЕГІОНАЛЬНА АПТЕЧНА МЕРЕЖА РУАН""",0005755a-d087-437a-88bc-a3e4a822a772,Аптека №18,ДНІПРОПЕТРОВСЬКА,,ДНІПРО,"ДНІПРОПЕТРОВСЬКА область, місто ДНІПРО, вулиця Миколи Міхновського, 11",35.0252496,48.5272361,2252249.89
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПАССАТ-ЛТД""",0017c5e2-9cfb-4c66-a4e0-e9e3978e86fa,Аптека №3,ХАРКІВСЬКА,,ПОКОТИЛІВКА,"ХАРКІВСЬКА область, смт. ПОКОТИЛІВКА, вулиця Незалежності/Кооперативна, 48/7",36.1763412,49.9166765,589771.54
"ПРИВАТНЕ ПІДПРИЄМСТВО ""КОНЕКС""",001c5180-4c99-4cca-85c6-ec1c70a8ffb5,"Аптечний пункт №1 (Аптеки №46 Вінницька обл., м.Немирів, вул.Горького, 96)",ВІННИЦЬКА,НЕМИРІВСЬКИЙ,НЕМИРІВ,"ВІННИЦЬКА область, НЕМИРІВСЬКИЙ район, місто НЕМИРІВ, вулиця Євдокименка, 22",28.8475081,48.9750521,11013374.090000002
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МИКОЛАЇВ-ФАРМ""",0035f619-428e-49b5-8db1-be41e0b7f415,"Аптека ""Пастера"" №1",ОДЕСЬКА,,ОДЕСА,"ОДЕСЬКА область, місто ОДЕСА, вулиця Пастера, 8",30.72216,46.49317,702676.0299999999
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРАНА-ФАРМ""",00371dea-0616-4f86-ad9b-5f36781f7b2c,"Аптека №300 ""Прана""",СУМСЬКА,,СУМИ,"СУМСЬКА область, місто СУМИ, вулиця Миру, 30",34.835680700000005,50.892833200000005,1902442.2700000005
БРАГА ЕДУАРД ЛЕОНІДОВИЧ,003d1851-3d6e-4844-a8d8-10de75da4647,Аптека №4,ЗАПОРІЗЬКА,,МЕЛІТОПОЛЬ,"ЗАПОРІЗЬКА область, місто МЕЛІТОПОЛЬ, проспект Б.Хмельницького, 87",35.366484,46.834463,877671.6799999999
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФАРМО""",0048af19-b903-497d-8aa5-59fdc6a32bbf,"Аптека №6 ""ФАРМО",ХМЕЛЬНИЦЬКА,,ШЕПЕТІВКА,"ХМЕЛЬНИЦЬКА область, місто ШЕПЕТІВКА, вулиця Котика Валі, 124/1",27.056244300000003,50.175295399999996,279025.21
"ПРИВАТНЕ ПІДПРИЄМСТВО ""АПТЕКА 2011""",0053884b-2f55-40a9-acb6-487c2ff17231,Аптека №50,ХАРКІВСЬКА,,АНДРІЇВКА,"ХАРКІВСЬКА область, село АНДРІЇВКА, вулиця Центральна, 15",36.62426,49.53898,1129505.3900000001
"ПРИВАТНА ФІРМА "" ГАММА - 55 """,006af5b6-f1d5-43ec-ac47-8107089209a9,"Аптека №28 ""Дафі""",ХАРКІВСЬКА,,ХАРКІВ,"ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Героїв Праці, 9",36.33063920000001,50.0274071,2164162.27
"Товариство з обмеженою відповідальністю  ""Фарма Віта""",0073142d-2c3e-4dec-adce-8747359fb4b1,"Аптека №30 ""Народна аптека""",ЗАПОРІЗЬКА,,ЗАПОРІЖЖЯ,"ЗАПОРІЗЬКА область, місто ЗАПОРІЖЖЯ, проспект Соборний, 228",35.100126,47.8606722,1211112.7400000002
"Обласне комунальне підприємство ""Фармація""",00735fbf-317c-4422-b972-a53dc8882c49,Аптека №77,ДНІПРОПЕТРОВСЬКА,ПОКРОВСЬКИЙ,ПОКРОВСЬКЕ,"ДНІПРОПЕТРОВСЬКА область, ПОКРОВСЬКИЙ район, смт. ПОКРОВСЬКЕ, вулиця Соборна, 118",36.235355,47.9833465,8274303.03
