division_name,division_residence_addresses,division_decl_sum,nszu_geocoding_google_api_lat,nszu_geocoding_google_api_lng
Амбулаторія загальної практики сімейної медицини №1,"ДНІПРОПЕТРОВСЬКА область, місто ПОКРОВ, вулиця Київська, 9",7360.0,47.636456,34.0727419
Амбулаторія загальної практики-сімейної медицини с.Бердихів,"ЛЬВІВСЬКА область, ЯВОРІВСЬКИЙ район, село БЕРДИХІВ, вулиця Бандери, 32",1551.0,49.9313149,23.5733468
"Комунальне некомерційне підприємство ""Дитяча поліклініка №2"" Чернігівської міської ради","ЧЕРНІГІВСЬКА область, місто ЧЕРНІГІВ, вулиця Рокосовського , 47",17237.0,51.511967999999996,31.3258555
Амбулаторія загальної практики- сімейної медицини №1,"ВІННИЦЬКА область, місто ВІННИЦЯ, вулиця Станіславського, 36",5783.0,49.2555458,28.473527299999997
Відділення загальної практики-сімейної медицини №1 і №2,"ЛЬВІВСЬКА область, місто ЛЬВІВ, вулиця Генерала Чупринки, 43",18673.0,49.8311306,24.009852300000002
Амбулаторія загальної практики-сімейної медицини № 4,"ЧЕРКАСЬКА область, місто СМІЛА, вулиця Героїв Холодноярців, 82а",8408.0,49.2176952,31.9156874
Михайлівська амбулаторія загальної практики сімейної медицини,"ХМЕЛЬНИЦЬКА область, ЯРМОЛИНЕЦЬКИЙ район, село МИХАЙЛІВКА, вулиця Центральна, 33",2244.0,49.237554100000004,27.146830199999997
Карпівська амбулаторія загальної практики сімейної медицини,"ДНІПРОПЕТРОВСЬКА область, ШИРОКІВСЬКИЙ район, село КАРПІВКА, вулиця Степова, 84",1225.0,47.666241799999995,33.119047200000004
"Амбулаторія сімейної медицини № 1 центру первинної медичної допомоги Комунального некомерційного підприємства ""5-а міська клінічна поліклініка м.Львова""","ЛЬВІВСЬКА область, місто ЛЬВІВ, вулиця Виговського, 41",11083.0,49.818864700000006,23.9704386
АЗПСМ с. Рясне,"СУМСЬКА область, КРАСНОПІЛЬСЬКИЙ район, село РЯСНЕ, вулиця Перемоги, 59",1060.0,50.691709499999995,35.395038
Фельдшерський пункт  с. Заячківка,"ЧЕРКАСЬКА область, УМАНСЬКИЙ район, село ЗАЯЧКІВКА, вулиця Дружби, 15",3.0,48.6489848,30.352110200000002
Амбулаторія загальної практики - сімейної медицини с.Гніздичне,"ТЕРНОПІЛЬСЬКА область, ЗБАРАЗЬКИЙ район, село ГНІЗДИЧНЕ, вулиця Широка, 1",1018.0,49.8052372,25.650376899999998
"КНП""Новоуспенівська амбулаторія загальної практики-сімейна медицина""Новоуспенівської сільскої ради Веселівського район","ЗАПОРІЗЬКА область, ВЕСЕЛІВСЬКИЙ район, село НОВОУСПЕНІВКА, вулиця Степова, 13",2084.0,47.0489625,35.0352751
Дачненська амбулаторія загальної практики сімейної медицини,"ДОНЕЦЬКА область, МАР'ЇНСЬКИЙ район, село ДАЧНЕ, вулиця Молодіжна, 2б",1596.0,47.992677799999996,37.1820114
Амбулаторія загальної практики – сімейної медицини с. Увисла,"ТЕРНОПІЛЬСЬКА область, ГУСЯТИНСЬКИЙ район, село УВИСЛА, вулиця Ясна, 9",1.0,49.10969420000001,25.9001778
АЗПСМ м.Зміїв,"ХАРКІВСЬКА область, ЗМІЇВСЬКИЙ район, місто ЗМІЇВ, вулиця 6-ї Стрілецької дивізії, 1",14120.0,49.677760299999996,36.355126
Амбулаторія загальної практики/сімейної медицини с-ще Липівка,"ЛЬВІВСЬКА область, МИКОЛАЇВСЬКИЙ район, селище ЛИПІВКА, вулиця Сихівська, 14",1684.0,49.5854505,23.9794354
АЗПСМ с.Зірне,"РІВНЕНСЬКА область, БЕРЕЗНІВСЬКИЙ район, село ЗІРНЕ, вулиця Джерельна, 1а",2871.0,50.9776237,26.7148287
Амбулаторія загальної практики - сімейної медицини с. Пустовійтівка,"СУМСЬКА область, РОМЕНСЬКИЙ район, село ПУСТОВІЙТІВКА, вулиця Берегова, 129",2216.0,50.779987299999995,33.5697564
Комишуваська амбулаторія загальної практики сімейної медицини,"ЗАПОРІЗЬКА область, ОРІХІВСЬКИЙ район, смт. КОМИШУВАХА, вулиця Смирнова, 3",10591.0,47.7147135,35.531759
