legal_entity_name,legal_entity_edrpou,division_name,division_residence_addresses,division_decl_sum,nszu_geocoding_google_api_lat,nszu_geocoding_google_api_lng
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ПОКРОВСЬКОЇ МІСЬКОЇ РАДИ ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ""",37691403,Амбулаторія загальної практики сімейної медицини №1,"ДНІПРОПЕТРОВСЬКА область, місто ПОКРОВ, вулиця Київська, 9",6463.0,47.636456,34.0727419
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ЯВОРІВСЬКОЇ РАЙОННОЇ РАДИ ЛЬВІВСЬКОЇ ОБЛАСТІ ""НОВОЯВОРІВСЬКА РАЙОННА ЛІКАРНЯ ІМЕНІ ЮРІЯ ЛИПИ""",20763289,Амбулаторія загальної практики-сімейної медицини с.Бердихів,"ЛЬВІВСЬКА область, ЯВОРІВСЬКИЙ район, село БЕРДИХІВ, вулиця Бандери, 32",1598.0,49.886022100000005,23.524369600000004
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ДИТЯЧА ПОЛІКЛІНІКА №2"" ЧЕРНІГІВСЬКОЇ МІСЬКОЇ РАДИ",04591208,"Комунальне некомерційне підприємство ""Дитяча поліклініка №2"" Чернігівської міської ради","ЧЕРНІГІВСЬКА область, місто ЧЕРНІГІВ, вулиця Рокоссовського, 47",17907.0,51.51309129999999,31.3187408
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №4 М. ВІННИЦІ""",26244596,Амбулаторія загальної практики- сімейної медицини №1,"ВІННИЦЬКА область, місто ВІННИЦЯ, вулиця Станіславського, 36",6617.0,49.2555458,28.473527299999997
"Комунальне некомерційне підприємство ""5-а міська клінічна лікарня м. Львова""",01996668,Відділення загальної практики-сімейної медицини №1 і №2,"ЛЬВІВСЬКА область, місто ЛЬВІВ, вулиця Генерала Чупринки, 43",19385.0,49.8311306,24.009852300000002
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" СМІЛЯНСЬКОЇ МІСЬКОЇ РАДИ",41055229,Амбулаторія загальної практики-сімейної медицини № 4,"ЧЕРКАСЬКА область, місто СМІЛА, вулиця Героїв Холодноярців, 82а",9042.0,49.2176952,31.9156874
Комунальне некомерційне підприємство 'Ярмолинецький районний центр первинної медико-санітарної допомоги' Ярмолинецької районної ради Хмельницької області,38283239,Михайлівська амбулаторія загальної практики сімейної медицини,"ХМЕЛЬНИЦЬКА область, ЯРМОЛИНЕЦЬКИЙ район, село МИХАЙЛІВКА, вулиця Центральна, 33",2288.0,49.237554100000004,27.146830199999997
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ШИРОКІВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ"" ШИРОКІВСЬКОЇ РАЙОННОЇ РАДИ",36729598,Карпівська амбулаторія загальної практики сімейної медицини,"ДНІПРОПЕТРОВСЬКА область, ШИРОКІВСЬКИЙ район, село КАРПІВКА, вулиця Степова, 8",1260.0,47.666041799999995,33.1188472
"Комунальне некомерційне підприємство ""5-а міська клінічна поліклініка м. Львова""",23957835,"Амбулаторія сімейної медицини № 1 центру первинної медичної допомоги Комунального некомерційного підприємства ""5-а міська клінічна поліклініка м.Львова""","ЛЬВІВСЬКА область, місто ЛЬВІВ, вулиця Виговського, 41",11332.0,49.818864700000006,23.9704386
Комунальне некомерційне підприємство 'Краснопільський центр первинної медико-санітарної допомоги' Краснопільської селищної ради,38602639,АЗПСМ с. Рясне,"СУМСЬКА область, КРАСНОПІЛЬСЬКИЙ район, село РЯСНЕ, вулиця Перемоги, 59",1053.0,50.691709499999995,35.395038
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" УМАНСЬКОЇ РАЙОННОЇ РАДИ",39028772,Фельдшерський пункт  с. Заячківка,"ЧЕРКАСЬКА область, УМАНСЬКИЙ район, село ЗАЯЧКІВКА, вулиця Дружби, 15",1.0,48.6489848,30.352110200000002
Комунальне некомерційне підприємство 'Збаразький центр первинної медико-санітарної допомоги' Збаразької районної ради,39511438,Амбулаторія загальної практики - сімейної медицини с.Гніздичне,"ТЕРНОПІЛЬСЬКА область, ЗБАРАЗЬКИЙ район, село ГНІЗДИЧНЕ, вулиця Широка, 1",1002.0,49.8052372,25.650376899999998
"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""СЛАВУТСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" СЛАВУТСЬКОЇ РАЙОННОЇ РАДИ ХМЕЛЬНИЦЬКОЇ ОБЛАСТІ",38358026,Славутська АЗП-СМ №4,"ХМЕЛЬНИЦЬКА область, місто СЛАВУТА, вулиця Привокзальна, 52-Б",9.0,50.3206348,26.8908178
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""НОВОУСПЕНІВСЬКА АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ-СІМЕЙНОЇ МЕДИЦИНИ"" НОВОУСПЕНІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ВЕСЕЛІВСЬКОГО РАЙОНУ ЗАПОРІЗЬКОЇ ОБЛАСТІ",42257058,"КНП""Новоуспенівська амбулаторія загальної практики-сімейна медицина""Новоуспенівської сільскої ради Веселівського район","ЗАПОРІЗЬКА область, ВЕСЕЛІВСЬКИЙ район, село НОВОУСПЕНІВКА, вулиця Степова, 13",2362.0,47.0489625,35.0352751
Комунальне некомерційне підприємство 'Центр первинної медико-санітарної допомоги Мар'їнської районної ради',37862491,Дачненська амбулаторія загальної практики сімейної медицини,"ДОНЕЦЬКА область, МАР'ЇНСЬКИЙ район, село ДАЧНЕ, вулиця Молодіжна, 2б",1822.0,47.992677799999996,37.1820114
