hospital_edrpou,hospital_name,id_item_short,date_month,name,oblast_name,sum
01107935,"КОМУНАЛЬНИЙ ЗАКЛАД ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ ""ФАСТІВСЬКА МІСЬКА ЛІКАРНЯ""",type:30,2016-10-01,Фастівський район,Київська,896310.0
01107935,"КОМУНАЛЬНИЙ ЗАКЛАД ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ ""ФАСТІВСЬКА МІСЬКА ЛІКАРНЯ""",type:30,2017-12-01,Фастівський район,Київська,6232929.300000001
01107935,"КОМУНАЛЬНИЙ ЗАКЛАД ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ ""ФАСТІВСЬКА МІСЬКА ЛІКАРНЯ""",type:331,2016-09-01,Фастівський район,Київська,184032000.0
01107935,"КОМУНАЛЬНИЙ ЗАКЛАД ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ ""ФАСТІВСЬКА МІСЬКА ЛІКАРНЯ""",type:331,2016-10-01,Фастівський район,Київська,1791900.0
01107935,"КОМУНАЛЬНИЙ ЗАКЛАД ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ ""ФАСТІВСЬКА МІСЬКА ЛІКАРНЯ""",type:331,2016-12-01,Фастівський район,Київська,8167500.0
01107935,"КОМУНАЛЬНИЙ ЗАКЛАД ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ ""ФАСТІВСЬКА МІСЬКА ЛІКАРНЯ""",type:331,2017-05-01,Фастівський район,Київська,6562620.0
01107935,"КОМУНАЛЬНИЙ ЗАКЛАД ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ ""ФАСТІВСЬКА МІСЬКА ЛІКАРНЯ""",type:331,2017-06-01,Фастівський район,Київська,4302000.0
01107935,"КОМУНАЛЬНИЙ ЗАКЛАД ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ ""ФАСТІВСЬКА МІСЬКА ЛІКАРНЯ""",type:331,2017-08-01,Фастівський район,Київська,7245855.0
01107935,"КОМУНАЛЬНИЙ ЗАКЛАД ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ ""ФАСТІВСЬКА МІСЬКА ЛІКАРНЯ""",type:331,2017-12-01,Фастівський район,Київська,15426000.0
01107935,"КОМУНАЛЬНИЙ ЗАКЛАД ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ ""ФАСТІВСЬКА МІСЬКА ЛІКАРНЯ""",type:39,2016-10-01,Фастівський район,Київська,115865100.0
01107935,"КОМУНАЛЬНИЙ ЗАКЛАД ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ ""ФАСТІВСЬКА МІСЬКА ЛІКАРНЯ""",type:39,2017-11-01,Фастівський район,Київська,9885150.0
01107935,"КОМУНАЛЬНИЙ ЗАКЛАД ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ ""ФАСТІВСЬКА МІСЬКА ЛІКАРНЯ""",type:44,2017-06-01,Фастівський район,Київська,4726736.549999997
01107935,"КОМУНАЛЬНИЙ ЗАКЛАД ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ ""ФАСТІВСЬКА МІСЬКА ЛІКАРНЯ""",type:45,2016-11-01,Фастівський район,Київська,42152387.399999976
